﹟,Glide ﹟,Start Date,End Date,Country,Area (km²),Source,Main Cause,Fatalities,Displaced,Severity,Flood impact index
3116,LS-2007-000098-PAK,6/28/07,7/22/07,Pakistan,"29,411",News,Heavy rain,130,2000,1,5.9
3114,,6/27/07,7/4/07,Australia,"40,946",News,Heavy rain,1,300,1.5,5.7
3115,,6/27/07,6/29/07,Iran (Islamic Republic of),"10,411",News,Torrential rain,12,0,1.5,4.7
3121,,6/27/07,9/10/07,Colombia,"69,988",News,Heavy rain,43,700000,1,6.7
3112,TC-2007-000084-PAK,6/26/07,7/20/07,Pakistan,"115,767",News,Tropical cyclone,280,400000,1,6.5
3113,,6/26/07,7/23/07,United States of America,"507,778",News,Heavy rain,8,5000,1.5,7.3
3110,,6/25/07,7/3/07,United Kingdom of Great Britain and Northern Ireland,"27,719",News,Heavy rain,6,30000,1.5,5.6
3109,FF-2007-000091-AFG,6/24/07,7/3/07,Afghanistan,"62,336",News,Heavy rain,113,4000,1,5.8
3111,,6/24/07,6/28/07,Solomon Islands,263,News,Heavy rain,0,3000,1,3.1
3108,TC-2007-000085-PAK,6/23/07,6/25/07,Pakistan,"2,215",News,Monsoonal rain,230,0,1,3.8
3107,TC-2007-000084-IND,6/22/07,7/4/07,India,"450,564",News,Monsoonal rain,127,200000,1,6.8
3106,,6/19/07,6/20/07,United States of America,"6,498",News,Torrential rain,2,120,1,4.1
3104,FF-2007-000083-IND,6/18/07,6/26/07,India,"74,888",News,Monsoonal rain,15,200000,1,5.8
3105,,6/18/07,6/20/07,Costa Rica,"2,851",News,Heavy rain,0,0,1,3.9
3102,,6/17/07,6/22/07,United States of America,"34,568",News,Heavy rain,10,750,1,5.3
3101,FF-2007-000082-PAK,6/16/07,6/20/07,Pakistan,"12,117",News,Torrential rain,22,500,1,4.8
3103,,6/16/07,6/20/07,Indonesia,"1,190",News,Heavy rain,1,212,1,3.8
3099,,6/15/07,6/21/07,United Kingdom of Great Britain and Northern Ireland,"23,106",News,Heavy rain,1,200,1,5.2
3100,FF-2007-000081-NPL,6/15/07,6/18/07,Nepal,"2,705",News,Monsoonal rain,0,400,1,4
3097,LS-2007-000080-BGD,6/11/07,6/24/07,Bangladesh,"77,805",News,Monsoonal rain,126,80000,1,6
3096,,6/9/07,6/9/07,Switzerland,914,News,Torrential rain,3,0,1,3
3095,,6/8/07,6/13/07,Australia,"11,377",News,Heavy rain,9,5000,1.5,5
3098,,6/7/07,6/16/07,South Africa,"9,088",News,Heavy rain,0,6000,1.5,5.1
3092,,6/6/07,6/14/07,Canada,"204,994",News,Snowmelt,0,500,1.5,6.4
3093,,6/6/07,6/12/07,Oman,"372,988",News,Tropical cyclone,61,60000,1,6.4
3094,FL-2007-000077-CHN,6/6/07,8/17/07,China,"1,916,284",News,Heavy rain,600,3170000,1.5,8.3
3091,,6/1/07,6/6/07,China,"168,580",News,Heavy rain,0,8000,1,6
3089,,5/30/07,6/3/07,Dominican Republic,"13,536",News,Heavy rain,11,20000,1,4.8
3090,,5/30/07,5/31/07,El Salvador,"4,515",News,Tropical cyclone,4,0,1,4
3088,,5/27/07,6/1/07,Türkiye,"38,495",News,Heavy rain,13,0,1,5.4
3087,,5/26/07,5/28/07,Cuba,"15,430",News,Heavy rain,2,3000,1,4.7
3086,,5/25/07,5/27/07,France,"3,174",News,Heavy rain,1,500,1,4
3083,,5/24/07,5/29/07,United States of America,"341,278",News,Heavy rain,6,100,1,6.3
3084,FF-2007-000070-CHN,5/24/07,5/26/07,China,"43,534",News,Heavy rain,43,112000,1,5.1
3082,,5/23/07,5/26/07,Spain,"212,702",News,Heavy rain,1,550,1,5.9
3085,,5/22/07,6/6/07,Bulgaria,"34,006",News,Heavy rain,2,0,1,5.7
3079,,5/20/07,5/21/07,China,"3,207",News,Heavy rain,3,0,1,3.8
3080,FL-2007-000068-COL,5/19/07,6/27/07,Colombia,"29,773",News,Heavy rain,14,3000,1,6.1
3078,FL-2007-000076-KEN,5/15/07,6/14/07,Kenya,"13,866",News,Heavy rain,5,8500,1,5.6
3081,,5/15/07,6/5/07,Indonesia,"34,346",News,Heavy rain,4,60000,1,5.9
3077,,5/14/07,5/18/07,Afghanistan,"15,492",News,Heavy rain,34,0,1,4.9
3075,,5/13/07,6/13/07,Russian Federation,"378,032",News,Snowmelt,0,7000,1,7.1
3074,,5/12/07,5/13/07,Israel,320,News,Heavy rain,4,21,1,2.8
3073,,5/11/07,5/21/07,Thailand,"38,377",News,Heavy rain,0,1000,1,5.6
3076,,5/11/07,6/13/07,Russian Federation,"427,668",News,Snowmelt,0,640,1,7.2
3070,,5/6/07,5/18/07,United States of America,"642,776",News,Heavy rain,2,1000,1,6.9
3072,,5/6/07,5/12/07,Indonesia,"3,358",News,Heavy rain,2,14400,1,4.4
3069,FL-2007-000054-AFG,5/5/07,5/7/07,Afghanistan,"25,847",News,Heavy rain,12,0,1,4.9
3068,FL-2007-000053-MMR,5/4/07,5/9/07,Myanmar,"15,667",News,Heavy rain,5,0,1,5
3071,FL-2007-000057-URY,5/4/07,5/25/07,Uruguay,"104,128",News,Heavy rain,2,12000,1.5,6.5
3067,FL-2007-000052-LKA,5/2/07,5/7/07,Sri Lanka,"3,337",News,Heavy rain,16,125000,1,4.3
3065,,5/1/07,5/25/07,Indonesia,"40,327",News,Heavy rain,0,3000,1,6
3066,,5/1/07,5/7/07,Thailand,"5,387",News,Heavy rain,1,1000,1,4.6
3063,,4/29/07,5/1/07,Türkiye,"2,902",News,Heavy rain,2,0,1,3.9
3064,,4/29/07,5/1/07,Syrian Arab Republic,"1,919",News,Heavy rain,3,0,1,3.8
3062,,4/26/07,5/2/07,Colombia,"1,940",News,Heavy rain,17,2000,1,4.1
3061,,4/23/07,5/4/07,Afghanistan,"27,490",News,Heavy rain,36,0,1,5.5
3059,,4/21/07,4/30/07,Kenya,"1,103",News,Heavy rain,0,2460,1,4
3060,FL-2007-000051-TUN,4/21/07,4/22/07,Morocco,"9,451",News,Heavy rain,4,0,1,4.3
3058,,4/19/07,4/21/07,China,940,News,Dam/Levy break or release,0,5500,1,3.5
3055,,4/17/07,4/18/07,Afghanistan,"40,766",News,Heavy rain,6,0,1,4.9
3056,,4/17/07,4/20/07,Indonesia,822,News,Heavy rain,0,0,1,3.5
3057,,4/17/07,4/25/07,Kyrgyzstan,"17,036",News,Heavy rain,0,0,1,5.2
3053,,4/16/07,5/3/07,Indonesia,"3,193",News,Heavy rain,0,0,1,4.8
3054,FF-2007-000049-TJK,4/16/07,4/20/07,Tajikistan,"66,240",News,Heavy rain,2,5000,1,5.5
3052,,4/15/07,4/21/07,United States of America,"109,079",News,Heavy rain,9,0,1,5.9
3050,FF-2007-000047-THA,4/14/07,4/15/07,Thailand,290,News,Heavy rain,38,0,1,2.8
3051,,4/14/07,4/18/07,Indonesia,864,News,Heavy rain,0,0,1,3.6
3049,FL-2007-000051-TUN,4/13/07,4/15/07,Algeria,"7,110",News,Heavy rain,15,0,1,4.3
3048,,4/10/07,5/8/07,Canada,"94,680",News,Snowmelt,0,700,1.5,6.6
3047,,4/3/07,4/8/07,Spain,"42,036",News,Heavy rain,1,280,1,5.4
3046,,3/29/07,3/31/07,New Zealand,"4,204",News,Tropical cyclone,0,300,1.5,4.3
3043,,3/23/07,3/30/07,Yemen,"59,875",News,Heavy rain,36,600,1,5.7
3042,LS-2007-000037-PAK,3/20/07,3/31/07,India,"68,107",News,Heavy rain,12,2000,1,5.9
3044,FL-2007-000044-ARG,3/20/07,4/27/07,Argentina,"517,032",News,Heavy rain,12,65800,1,7.3
3045,FL-2007-000040-HTI,3/20/07,3/30/07,Haiti,"4,699",News,Heavy rain,11,7800,1,4.7
3040,FL-2007-000045-AFG,3/18/07,4/5/07,Afghanistan,"656,436",News,Heavy rain,104,20000,1,7.1
3039,,3/17/07,3/19/07,Honduras,"5,759",News,Heavy rain,2,0,1,4.2
3041,,3/17/07,3/22/07,Indonesia,"1,823",News,Heavy rain,0,3000,1,4
3038,,3/15/07,3/26/07,Madagascar,"131,717",News,Tropical cyclone,80,30000,1.5,6.4
3037,,3/11/07,3/13/07,United States of America,"11,016",News,Heavy rain,2,0,1,4.5
3036,FL-2007-000036-FJI,3/9/07,3/12/07,Fiji,"2,552",News,Heavy rain,5,0,1,4
3035,,3/7/07,3/11/07,Algeria,"53,227",News,Heavy rain,3,0,1,5.4
3034,,3/6/07,3/10/07,Honduras,"11,384",News,Heavy rain,0,3000,1,4.8
3033,,3/3/07,3/5/07,South Africa,"43,137",News,Heavy rain,5,0,1,5.1
3032,,3/2/07,3/16/07,Australia,"184,731",News,Tropical cyclone,2,90,1.5,6.6
3031,LS-2007-000032-IDN,3/1/07,3/10/07,Indonesia,"3,222",News,Heavy rain,43,11530,1,4.5
3030,TC-2007-000028-MDG,2/8/07,3/6/07,Madagascar,"438,826",News,Tropical cyclone,7,33000,1,7.1
3029,FL-2007-000025-FJI,2/3/07,2/20/07,Fiji,"2,552",News,Heavy rain,1,900,1,4.7
3028,,2/2/07,2/16/07,Rwanda,"1,343",News,Heavy rain,10,500,1,4.3
3027,FL-2007-000023-IDN,1/31/07,2/22/07,Indonesia,"4,367",News,Heavy rain,80,500000,1.5,5.2
3025,,1/23/07,2/15/07,Australia,"1,256,487",News,Heavy rain,0,0,1,7.5
3024,,1/21/07,2/10/07,Peru,"124,921",News,Heavy rain,38,5000,1,6.4
3023,,1/20/07,3/10/07,Malawi,"259,567",News,Heavy rain,2,10000,1,7.1
3021,,1/19/07,1/23/07,Australia,"661,939",News,Monsoonal rain,0,0,1.5,6.7
3026,FL-2007-000022-ARG,1/18/07,3/20/07,Argentina,"518,021",News,Heavy rain,5,5000,1,7.5
3022,FF-2007-000020-AGO,1/17/07,1/26/07,Angola,"1,596",News,Heavy rain,81,40000,1,4.2
3020,,1/15/07,2/3/07,United States of America,"434,387",News,Heavy rain,24,0,1,6.9
3015,,1/12/07,1/14/07,Indonesia,378,News,Monsoonal rain,26,3990,1,3.1
3016,FF-2007-000008-LKA,1/12/07,1/16/07,Sri Lanka,"10,964",News,Monsoonal rain,18,61281,1,4.7
3017,FL-2007-000016-MYS,1/11/07,2/1/07,Malaysia,"26,378",News,Monsoonal rain,2,148000,1.5,5.9
3014,,1/10/07,1/24/07,Philippines,"44,622",News,Heavy rain,6,24508,1,5.8
3018,FL-2007-000030-NAM,1/10/07,5/10/07,Zambia,"719,319",News,Heavy rain,11,250000,1,7.9
3019,FL-2007-000012-BOL,1/10/07,5/1/07,Bolivia (Plurinational State of),"801,035",News,Heavy rain,41,62687,1.5,8.1
3012,,1/4/07,1/22/07,Malaysia,"61,718",News,Monsoonal rain,1,3532,1,6.1
3011,FL-2007-000018-MWI,1/3/07,3/10/07,Mozambique,"243,408",News,Heavy rain,46,165000,1,7.2
3009,,1/1/07,1/4/07,Yemen,"25,391",News,Heavy rain,7,2000,1,5
3010,MS-2007-000004-BRA,1/1/07,1/12/07,Brazil,"210,596",News,Heavy rain,59,17000,1,6.4
3013,FL-2007-000017-BDI,1/1/07,3/1/07,Burundi,"293,439",News,Heavy rain,4,23000,1,7.2
3008,FL-2007-000003-PHL,12/29/06,1/15/07,Philippines,"1,618",News,Heavy rain,12,50000,1,4.5
3007,,12/26/06,2/2/07,Peru,"134,599",News,Heavy rain,6,46000,1,6.7
3006,FL-2006-000192-IDN,12/22/06,1/4/07,Indonesia,"16,206",News,Heavy rain,193,400000,1,5.4
3005,FL-2006-000189-MYS,12/19/06,1/10/07,Malaysia,"18,298",News,Heavy rain,16,90000,2,5.9
3004,FL-2006-000191-LKA,12/17/06,12/20/06,Sri Lanka,"6,833",News,Heavy rain,0,40000,1,4.4
3003,,12/4/06,12/6/06,Pakistan,"28,939",News,Heavy rain,5,0,1,4.9
3002,TC-2006-000175-PHL,11/30/06,12/8/06,"Philippines,Viet Nam","45,658",News,Heavy rain,526,82915,1,5.6
3000,FL-2006-000171-HTI,11/28/06,12/1/06,Haiti,"6,319",News,Heavy rain,7,1500,1,4.4
3001,,11/28/06,12/15/06,Rwanda,840,News,Heavy rain,24,2000,1,4.2
2999,,11/27/06,11/29/06,Malawi,"2,767",News,Heavy rain,5,8000,1,3.9
2998,,11/24/06,12/15/06,Democratic Republic of the Congo,"126,509",News,Heavy rain,0,26000,1,6.4
2997,FL-2006-000174-PAN,11/21/06,11/30/06,Panama,"17,735",News,Heavy rain,11,1290,1,5.2
2995,,11/19/06,11/21/06,Afghanistan,"21,502",News,Heavy rain,50,0,1,4.8
2996,,11/19/06,11/21/06,Afghanistan,565,News,Heavy rain,18,0,1,3.2
2994,FF-2006-000168-AFG,11/16/06,11/20/06,Afghanistan,"4,954",News,Heavy rain,66,4500,1,4.4
2993,,11/15/06,11/18/06,Democratic Republic of the Congo,"1,072",News,Heavy rain,8,0,1,3.6
2992,FF-2006-000163-AFG,11/10/06,11/12/06,Afghanistan,"1,385",News,Heavy rain,9,0,1,3.6
2989,,11/5/06,11/7/06,Iraq,"19,956",News,Heavy rain,20,18000,1,4.8
2990,,11/5/06,11/10/06,United States of America,"57,886",News,Heavy rain,2,1500,1,5.5
2991,,11/4/06,11/18/06,"Congo,Democratic Republic of the Congo","1,224",News,Heavy rain,7,6000,1,4.3
2988,TC-2006-000153-PHL,10/30/06,11/1/06,Philippines,"23,985",News,Heavy rain,19,300000,1,4.9
2986,FL-2006-000157-ETH,10/27/06,12/25/06,"Ethiopia,Somalia","504,019",News,Heavy rain,132,410000,2,7.8
2987,FL-2006-000156-TUR,10/27/06,11/7/06,"Türkiye,Syrian Arab Republic","122,345",News,Heavy rain,46,63000,2,6.5
2983,,10/26/06,10/28/06,United Kingdom of Great Britain and Northern Ireland,"2,300",News,Heavy rain,1,300,2,4.1
2984,FL-2006-000155-LKA,10/26/06,11/20/06,Sri Lanka,"6,984",News,Monsoonal rain,52,88000,1,5.3
2985,,10/26/06,11/4/06,India,"40,095",News,Monsoonal rain,47,225000,1,5.6
2982,,10/25/06,10/28/06,Mexico,"54,979",News,Heavy rain,0,20000,1,5.3
2979,FL-2006-000161-SOM,10/23/06,1/4/07,"Kenya,Somalia","950,041",News,Heavy rain,150,700000,1,7.8
2978,,10/22/06,11/8/06,"Spain,Portugal","155,288",News,Heavy rain,4,300,1,6.4
2977,,10/21/06,10/24/06,Canada,"16,766",News,Heavy rain,0,500,1,4.8
2981,,10/21/06,10/27/06,Philippines,"3,683",News,Heavy rain,1,40000,1,4.4
2980,,10/20/06,11/1/06,Malaysia,"16,296",News,Heavy rain,1,1500,1,5.3
2975,,10/15/06,11/1/06,United States of America,"35,645",News,Heavy rain,4,0,1,5.8
2976,FL-2006-000159-KEN,10/15/06,10/26/06,Kenya,"12,732",News,Heavy rain,6,2000,1,5.2
2974,FL-2006-000147-THA,10/10/06,11/4/06,Thailand,"174,278",News,Monsoonal rain,0,0,1,6.7
2973,,10/9/06,10/14/06,United States of America,"51,560",News,Heavy rain,0,100,1,5.5
2972,,10/8/06,10/12/06,Greece,"17,967",News,Heavy rain,0,3000,2,5.3
2971,,10/6/06,10/12/06,China,"24,766",News,Heavy rain,16,20000,1,5.2
2969,TC-2006-000144-PHL,9/27/06,10/6/06,"Philippines,Viet Nam","69,820",News,Heavy rain,260,250000,1,5.8
2968,,9/25/06,9/28/06,Nepal,"26,240",News,Monsoonal rain,4,0,1,5
2966,,9/22/06,9/26/06,United States of America,"146,006",News,Heavy rain,13,600,1,5.9
2965,,9/18/06,10/5/06,"India,Bangladesh","606,980",News,Monsoonal rain,250,50000,1,7
2964,,9/17/06,9/21/06,Viet Nam,"34,789",News,Heavy rain,4,16000,1,5.2
2963,TC-2006-000138-MEX,9/16/06,9/18/06,Mexico,"44,309",News,Monsoonal rain,4,7000,1,5.1
2970,FL-2006-000147-MMR,9/15/06,10/19/06,Myanmar,"187,994",News,Monsoonal rain,25,10000,1,6.8
2967,,9/12/06,9/13/06,Nigeria,870,News,Torrential rain,20,0,1,3.2
2962,FL-2006-000139-TCD,9/5/06,10/17/06,"Chad,Nigeria","768,806",News,Heavy rain,52,20000,1,7.5
2959,,9/2/06,9/7/06,United States of America,"4,560",News,Tropical cyclone,0,140,1,4.4
2960,TC-2006-000132-MEX,9/2/06,9/4/06,Mexico,"25,148",News,Tropical cyclone,5,10000,1,4.9
2958,,8/31/06,9/11/06,"India,Pakistan","141,449",News,Monsoonal rain,39,3000,1,6.2
2957,,8/30/06,8/31/06,China,"16,922",News,Torrential rain,15,0,1,4.5
2956,,8/29/06,9/4/06,India,"32,713",News,Monsoonal rain,42,50000,1,5.4
2954,FL-2006-000127-NPL,8/26/06,9/13/06,Nepal,"14,866",News,Monsoonal rain,60,80000,2,5.8
2955,,8/24/06,10/10/06,Somalia,"37,382",News,Monsoonal rain,5,0,1,6.3
2961,FL-2006-000131-BGD,8/24/06,9/20/06,Bangladesh,"28,079",News,Monsoonal rain,0,0,1,5.9
2951,FL-2006-000125-THA,8/20/06,12/13/06,Thailand,"213,081",News,Monsoonal rain,195,2000000,2,7.7
2953,,8/19/06,8/24/06,United States of America,"123,354",News,Heavy rain,0,150,1,5.9
2946,FL-2006-000122-ETH,8/13/06,9/11/06,Ethiopia,"15,926",News,Heavy rain,364,20000,1,5.7
2950,FL-2006-000123-SDN,8/13/06,9/26/06,"Sudan,Ethiopia","1,485,583",News,Heavy rain,40,150000,1,7.8
2948,FL-2006-000136-VNM,8/12/06,9/2/06,Viet Nam,"124,537",News,Heavy rain,42,50000,1,6.4
2952,FL-2006-000124-UGA,8/12/06,8/21/06,Uganda,"4,902",News,Heavy rain,3,1680,1,4.7
2949,FL-2006-000130-KHM,8/10/06,11/1/06,"Cambodia,Viet Nam","143,296",News,Monsoonal rain,68,33000,1,7.1
2945,TC-2006-000114-CHN,8/9/06,8/12/06,China,"191,444",News,Tropical cyclone,441,1600000,1,5.9
2943,FL-2006-000112-ETH,8/5/06,8/8/06,Ethiopia,"4,225",News,Heavy rain,256,10000,1,4.2
2944,,8/4/06,8/9/06,Somalia,"3,845",News,Heavy rain,0,400,1,4.4
2947,FL-2006-000120-BFA,8/3/06,10/11/06,"Burkina Faso,Niger","2,109,011",News,Heavy rain,4,70000,1,8.2
2941,TC-2006-000116-CHN,8/2/06,8/6/06,"Philippines,China","162,840",News,Tropical cyclone,87,840000,1,5.9
2942,,8/2/06,8/4/06,South Africa,"21,840",News,Heavy rain,6,3000,1,4.8
2938,,8/1/06,8/1/06,Pakistan,"2,748",News,Monsoonal rain,12,0,1,3.4
2940,FL-2006-000117-IND,8/1/06,9/10/06,India,"302,774",News,Monsoonal rain,185,2000000,1,7.1
2936,FL-2006-000128-AFG,7/30/06,8/9/06,Afghanistan,"63,167",News,Heavy rain,35,0,1,5.8
2937,,7/30/06,8/2/06,Philippines,"2,751",News,Tropical cyclone,8,476027,1,4
2935,FL-2006-000137-IND,7/28/06,9/12/06,"India,Pakistan","681,020",News,Monsoonal rain,457,140000,2,7.8
2934,,7/27/06,7/30/06,United States of America,"4,722",News,Heavy rain,1,600,1,4.3
2939,,7/27/06,8/7/06,"United States of America,Mexico","3,610",News,Heavy rain,1,5000,1,4.6
2933,,7/26/06,7/27/06,Switzerland,364,News,Heavy rain,0,3000,1,2.9
2931,,7/24/06,8/22/06,"Pakistan,India","182,707",News,Monsoonal rain,248,0,1,6.7
2932,TC-2006-000105-CHN,7/24/06,7/28/06,"Philippines,China","350,925",News,Tropical cyclone,36,1500000,1,6.2
2929,FL-2006-000106-MRT,7/22/06,7/24/06,Mauritania,219,News,Heavy rain,7,1200,1,2.8
2930,,7/22/06,7/26/06,Japan,"6,129",News,Heavy rain,4,4300,1,4.5
2927,,7/20/06,7/21/06,China,"1,666",News,Heavy rain,18,0,1,3.5
2926,FL-2006-000102-JPN,7/19/06,7/20/06,Japan,"47,888",News,Heavy rain,24,6200,1,5
2928,,7/18/06,7/20/06,Nigeria,"1,851",News,Heavy rain,4,40,1,3.7
2925,,7/15/06,7/17/06,Nigeria,724,News,Heavy rain,0,2000,1,3.3
2924,,7/14/06,7/17/06,China,"1,726",News,Monsoonal rain,1,1200,1,3.8
2922,FL-2006-000092-KOR,7/12/06,7/20/06,"Republic of Korea,Democratic People&#039;s Republic of Korea","55,625",News,Monsoonal rain,575,65000,1,5.7
2923,,7/12/06,7/14/06,Russian Federation,"22,758",News,Heavy rain,0,6000,1,4.8
2917,,7/11/06,7/12/06,Pakistan,457,News,Heavy rain,4,0,1,3
2919,,7/11/06,7/13/06,China,"1,392",News,Heavy rain,0,4000,1,3.6
2920,,7/11/06,7/17/06,Chile,"5,035",News,Heavy rain,15,30000,1,4.5
2921,FL-2006-000098-PHI,7/11/06,7/19/06,"Philippines,China","612,226",News,Tropical cyclone,629,2450000,2,7
2915,,7/9/06,7/11/06,Viet Nam,635,News,Heavy rain,4,100,1,3.3
2916,,7/9/06,7/13/06,"Pakistan,Afghanistan","6,984",News,Heavy rain,23,50,1,4.5
2914,,7/7/06,7/11/06,China,"20,118",News,Monsoonal rain,8,130000,1,5
2912,,7/6/06,7/17/06,China,"16,832",News,Heavy rain,24,50,1,5.3
2913,,7/6/06,7/7/06,Cambodia,"11,616",News,Monsoonal rain,0,5000,1,4.4
2911,,7/4/06,7/7/06,India,"170,056",News,Heavy rain,24,8400,1,5.8
2907,,7/3/06,7/4/06,Afghanistan,"1,571",News,Heavy rain,7,0,1,3.5
2908,,7/3/06,7/4/06,Pakistan,"1,430",News,Heavy rain,22,0,1,3.5
2909,,7/3/06,7/8/06,India,"31,361",News,Monsoonal rain,33,0,1,5.3
2910,FL-2006-000094-IND,7/3/06,7/6/06,India,394,News,Monsoonal rain,9,0,1,3.2
2918,,7/3/06,7/12/06,Myanmar,"154,656",News,Monsoonal rain,1,0,1,6.2
2905,FL-2006-000085-UKR,7/2/06,7/3/06,Ukraine,600,News,Heavy rain,2,0,1,3.1
2906,,7/2/06,7/5/06,China,"138,195",News,Heavy rain,20,16,1,5.7
2904,,7/1/06,7/3/06,Türkiye,"69,641",News,Heavy rain,9,0,1,5.3
2902,FL-2006-000071-ROM,6/30/06,7/3/06,Romania,"1,119",News,Heavy rain,21,600,1,3.7
2903,,6/30/06,7/1/06,China,33,News,Heavy rain,8,0,1,1.8
2900,,6/28/06,7/8/06,China,"109,600",News,Heavy rain,50,10000,1,6.1
2901,FL-2006-000095-CHN,6/28/06,7/6/06,China,"43,706",News,Heavy rain,30,44400,1,5.6
2895,FL-2006-000093-USA,6/25/06,7/1/06,United States of America,"122,594",News,Heavy rain,11,65000,2,6.2
2896,,6/25/06,6/29/06,Indonesia,"23,710",News,Heavy rain,26,3000,1,5.1
2897,,6/25/06,6/26/06,China,"34,991",News,Heavy rain,25,123000,1,4.8
2898,,6/25/06,6/26/06,China,"11,363",News,Heavy rain,4,5000,1,4.4
2899,,6/25/06,7/1/06,Honduras,"9,985",News,Heavy rain,4,1500,1,4.8
2894,FL-2006-000096-IND,6/24/06,8/3/06,"India,Nepal","506,577",News,Monsoonal rain,160,0,1,7.3
2893,,6/23/06,6/27/06,Indonesia,891,News,Heavy rain,0,5000,1,3.6
2892,,6/22/06,6/25/06,United States of America,"6,788",News,Heavy rain,2,0,1,4.4
2891,,6/20/06,6/26/06,Romania,"5,536",News,Heavy rain,12,626,1,4.6
2890,FF-2006-000069-IDN,6/19/06,6/23/06,Indonesia,"3,092",News,Heavy rain,291,7580,1,4.2
2889,FL-2006-000068-CHN,6/17/06,6/19/06,China,"7,859",News,Heavy rain,2,5000,1,4.4
2888,FL-2006-000068-CHN,6/13/06,6/16/06,China,"58,065",News,Heavy rain,2,50000,1,5.4
2887,FL-2006-000068-CHN,6/12/06,6/16/06,China,"11,679",News,Heavy rain,52,5900,1,4.8
2886,,6/10/06,6/13/06,Taiwan (Province of China),"14,311",News,Heavy rain,1,300,1,4.8
2885,FL-2006-000068-CHN,6/8/06,6/15/06,China,"4,210",News,Heavy rain,21,195500,1,4.5
2883,,6/4/06,6/12/06,Russian Federation,"274,771",News,Rain and snowmelt,0,1300,1,6.4
2884,,6/4/06,6/6/06,"Poland,Slovakia","27,578",News,Heavy rain,0,600,1,4.9
2875,,5/31/06,5/31/06,Thailand,"5,872",News,Monsoonal rain,0,0,2,4.1
2876,,5/31/06,6/4/06,India,"394,011",News,Monsoonal rain,41,0,1,6.3
2879,FF-2006-000082-IND,5/31/06,7/24/06,"India,Bangladesh","185,349",News,Monsoonal rain,21,600000,1,7
2877,,5/30/06,6/9/06,China,"76,601",News,Monsoonal rain,57,356000,2,6.2
2874,,5/28/06,6/2/06,United States of America,"39,986",News,Heavy rain,0,0,2,5.7
2872,,5/26/06,5/28/06,Morocco,"33,213",News,Heavy rain,6,1100,2,5.3
2880,,5/26/06,6/2/06,Canada,"3,213",News,Snowmelt,0,300,1,4.4
2871,,5/25/06,5/28/06,United States of America,"17,036",News,Torrential rain,6,0,1,4.8
2878,,5/25/06,6/2/06,India,"42,687",News,Monsoonal rain,32,10800,2,5.9
2873,,5/24/06,5/31/06,China,"107,431",News,Heavy rain,3,350000,1,5.9
2870,,5/23/06,5/27/06,Cuba,"1,943",News,Heavy rain,7,0,1,4
2867,FL-2006-000062-THA,5/22/06,6/11/06,Thailand,"78,277",News,Monsoonal rain,79,2000,2,6.5
2882,,5/22/06,5/29/06,United States of America,"86,844",News,Ice jam/break-up,0,0,1,5.8
2868,,5/20/06,5/28/06,Canada,"69,157",News,Rain and snowmelt,1,400,1,5.8
2866,,5/19/06,5/23/06,Afghanistan,"21,481",News,Heavy rain,9,800,1,5
2865,,5/18/06,5/22/06,China,"141,404",News,Tropical cyclone,23,1030000,1,5.8
2869,,5/17/06,5/28/06,Burundi,"2,695",News,Heavy rain,1,5000,1,4.5
2862,,5/11/06,5/14/06,Philippines,"24,930",News,Tropical cyclone,41,42000,1,5
2864,,5/11/06,5/22/06,United States of America,"42,911",News,Heavy rain,1,2500,2,6
2863,FL-2006-000065-TZA,5/9/06,5/17/06,United Republic of Tanzania,"12,433",News,Heavy rain,0,19000,1,5
2860,,5/8/06,5/13/06,Iran (Islamic Republic of),"18,313",News,Heavy rain,14,2800,1,5
2858,FL-2006-000057-SUR,5/7/06,5/29/06,Suriname,"62,044",News,Heavy rain,3,22000,2,6.5
2857,,5/6/06,5/7/06,Nepal,"1,833",News,Heavy rain,7,0,1,3.6
2856,,5/3/06,5/8/06,Algeria,"55,687",News,Heavy rain,6,0,1,5.5
2855,FL-2006-000076-AFG,4/29/06,5/1/06,Afghanistan,"58,309",News,Torrential rain,9,400,1,5.2
2859,,4/29/06,5/5/06,Myanmar,"77,889",News,Tropical cyclone,21,800,1,5.7
2854,,4/27/06,4/30/06,Papua New Guinea,"4,699",News,see notes,1,300,1,4.3
2853,,4/26/06,4/28/06,New Zealand,"4,630",News,Torrential rain,0,1200,2,4.4
2852,,4/22/06,5/31/06,Canada,"7,029",News,Snowmelt,0,2000,2,5.8
2851,,4/21/06,5/31/06,Russian Federation,"144,912",News,Snowmelt,0,420,1,6.8
2861,,4/21/06,5/15/06,China,"175,249",News,Heavy rain,22,36900,1,6.6
2850,,4/20/06,4/21/06,Malaysia,"2,586",News,Heavy rain,0,500,2,4
2848,FF-2006-000049-IDN,4/19/06,4/23/06,Indonesia,"19,039",News,Heavy rain,23,240,1,5
2849,,4/18/06,4/24/06,Canada,726,News,Heavy rain,0,200,1,3.7
2843,,4/15/06,4/24/06,Georgia,"29,217",News,Dam/Levy break or release,0,600,1,5.5
2844,,4/15/06,4/18/06,India,"190,870",News,Heavy rain,20,0,1,5.9
2845,,4/12/06,4/24/06,Canada,"63,265",News,Heavy rain,0,1000,2,6.2
2846,,4/12/06,4/18/06,Papua New Guinea,"41,564",News,Heavy rain,0,400,1,5.5
